اجتياو,اجتياز
المبلة,المقبلة
المقبة,المقبلة
ةالمقبلة,المقبلة
المزاعيد,المواعيد
المجود,الموجود
المكوجود,الموجود
المجودة,الموجودة
الموعدعند,الموعد عند
المةقع,الموقع
الموقغ,الموقع
اانتائج,النتائج
الوثبقة,الوثيقة
للمنسق,الى المنسق
لمنسق,الى منسق
لنسق,الى منسق
اليويو,اليورو
إمااذا,اما اذا
إنتظار,انتظار
اتهى,انتهى
اجابتكم,إجابتكم
اجابتي,إجابتي
اجازا,إجازة
اذا,إذا
ازا,إذا
اذنكم,إذنكم
إرسالهل,إرسالها
إعطائ,إعطاء
إعفائ,إعفاء
الى,إلى
اتمنى,أتمنى
وأتمنى,أتمنى
اخي,أخي
ارجو,أرجو
ارجوا,أرجو
أرجوا,أرجو
وارجو,أرجو
أرجوالتكرم,أرجو التكرم
ارجوالرد,أرجو الرد
أرجوالرد,أرجو الرد
اريد,أريد
اسعد,أسعد
أسعدالله ,أسعد الله 
اسعدكم,أسعدكم
اطيب,أطيب
اعتذر,أعتذر
اعرف,أعرف
ألمانبا,ألمانيا
أماداخل,أما داخل
امكن,أمكن
ان,أن
اهمية,أهمية
اوقاتك,أوقاتك
اوقاتكم,أوقاتكم
اوقاتكن,أوقاتكم
اوقاتكون,أوقاتكم
أوقاتكون,أوقاتكم
انسة,آنسة
أنسة,آنسة
انسه,آنسة
أنسه,آنسة
بالاجابة,بالإجابة
يالتسجيل,بالتسجيل
بالتفصبل,بالتفصيل
بالنفصيل,بالتفصيل
يالدراسة,بالدراسة
بالهشر,بالشهر
بإنتظار,بانتظار
بأنتظار,بانتظار
بلإحضار,بإحضار
بتريدوا,بتريدو
بركاتة,بركاته
بكلوريا,بكالوريا
يهذا,بهذا
تحديدالمشكلة,تحديد المشكلة
تحيه,تحية
تيحة,تحية
وتحية,تحية
وتحيه,تحية
تدقسق,تدقيق
تسبيم,تسليم
تلسيمهم,تسليمهم
تقضلوا,تفضلو
وتفضلوا,تفضلوا
وتفضلو,تفضلوا
تقنات,تقانات
تقاتة,تقانة
تقبلو,تقبلوا
وتقبلوا,تقبلوا
نقريبي,تقريبي
تكن,تكون
مشروحة,تم شرحها
تمكنتي,تمكنت
تنويل,تنزيل
جامعةة,جامعة
جداً,جدا
جزيلاً,جزيلا
دميع,جميع
حالبا,حاليا
حاولي,حاول
لتسطيع,حتى تستطيع
حسلبك,حسابك
خضرتكم,حضرتكم
ذللك,ذلك
رجاءا,رجاء
رحمه,رحمة
سلفاً,سلف
سلفا,سلف
سمحتو,سمحتوا
شاكرةً,شاكرة
شخصيك,شخصية
شكراً,شكرا
و شكراً,شكرا
وسكرا,شكرا
وشكرا,شكرا
وشكراً,شكرا
شكرًا,شكرا
و شكرا,شكرا
شكراًجزيلا,شكرا  جزيلا
وشكراًجزيلا,شكرا  جزيلا
شكراًلكم,شكرا  لكم
شكرا لكم,شكرا  لكم
شكرا للجواب,شكرا  للجواب
شكراجزيلا,شكرا جزيلا
وشكراجزيلا,شكرا جزيلا
شكراجزيلا ,شكرا جزيلا 
شكراً لسعة,شكرا لسعة
شؤوون,شؤون
شئون,شؤون
شيئ,شيء
صفخة,صفحة
صقحة,صفحة
صورةعن,صورة عن 
ضن,ضمن
طؤيق,طريق
طيبه,طيبة
علمجتسير,على الماجستير
علىالمفاضلة,على المفاضلة
عطلب,على طلب
عليكي,عليك
غيرمقبولة,غير مقبولة
فيإحدى,في احدى
يالأوراق,في الاوراق
بالايميل,في الايميل
بالجامة,في الجامعة
بالحسكة,في الحسكة
بالرابط,في الرابط
يالشهر,في الشهر
بالماستر,في الماجستير
باسرع,في أسرع
باقرب,في أقرب
بأقرب,في أقرب
ببرناج,في برنامج
ببرنامج,في برنامج
ببيرنامج,في برنامج
بيرنامج,في برنامج
ببيروت,في بيروت
يتقديم,في تقديم
بجلمعة,في جامعة
بجال,في حال
بحال,في حال
بحاللم,في حال لم
بدمشق,في دمشق
بهاية,في نهاية
يوزارة,في وزارة
قبوللك,قبولك
ثسم,قسم
كسف,كشف
كزنها,كونها
لايوجد,لا يوجد
بتتم,لتتم
للتم,لتتم
لتقدييم,لتقديم
لاحضرتكم,لحضرتكم
ولكم,لكم
للإجاية,للإجابة
للاطالة,للإطالة
للاطاله,للإطالة
للإطاله,للإطالة
للاهتمام,للإهتمام
للاهمية,للأهمية
للتسجبل,للتسجيل
لماذ,لماذا
لمؤكز,لمركز
لوسمحتوا,لو سمحتوا
ماستر,ماجستير
لمتلبعة,متابعة
مابعة,متابعة
متالعة,متابعة
مخفوظة,محفوظة
مدريرية,مديرية
لمرجعات ,مراجعة
مراجعت ,مراجعة
مراطز,مراكز
مرفقمع,مرفق مع
مساءالخير,مساء الخير
مساالخير,مساء الخير
مسالخير,مساء الخير
مساعده,مساعدة
ماودة,معاودة
مععدلات,معدلات
مهعدك,معدلك
مععرفة,معرفة
مفتضلة,مفاضلة
مفوح,مفتوح
مواقعالسوشال,مواقع السوشال
مجود,موجود
مجودة,موجودة
مو قع,موقع
نهايةالأسبوع,نهاية الأسبوع
هاذ,هذا
والاحترام,و الاحترام
والاختبار,و الاختبار
والامتنان,و الامتنان
والايلتس,و الايلتس
والايميل,و الايميل
والأكاديمي,و الأكاديمي
والتعديل,و التعديل
والتقدير,و التقدير
والرابط,و الرابط
والرد,و الرد
والسادة,و السادة
والساده,و الساده
واالساده,و الساده
والشكر,و الشكر
والقامشلي,و القامشلي
والماجستيرات,و الماجستيرات
